TitleID;Game;Xefu
45410026;007: NightFire;xefu
45530018;25 To Life;xefu7
54540001;4x4 EVO 2;xefu3
41430007;Aggressive Inline;xefu3
4B4E0002;Airforce Delta Storm;xefu
41430016;Alias;xefu
5A440004;Alien Hominid;xefu7
56550022;Aliens Versus Predator: Extinction;xefu
41430002;All-Star Baseball 2003;xefu5
4143001C;All-Star Baseball 2005;xefu3
55530043;America’s Army: Rise of a Soldier;xefu7
42530009;AMF Bowling 2004;xefu7
4D530041;Amped 2;xefu3
4D530005;Amped: Freestyle Snowboarding;xefu
49470015;Apex;xefu7
544D0003;Aquaman: Battle for Atlantis;xefu3
45410094;Arena Football;xefu7
4C41000D;Armed & Dangerous;xefu7
54540014;Army Men: Sarge’s War;xefu
49470079;Atari Anthology;xefu
4143000A;ATV Quad Power Racing 2;xefu
4343000E;Auto Modellista;xefu7
54510105;Avatar: The Last Airbender;xefu7
454D0016;Bad Boys: Miami Takedown;xefu3
5655001A;Baldur's Gate: Dark Alliance;xefu7
4950000A;Baldur's Gate: Dark Alliance 2;xefu
5655002A;Barbie Horse Adventures: Wild Horse Rescue;xefu
56550048;Bass Pro Shops: Trophy Hunter 2007;xefu7
45410389;Batman Begins™;xefu
5553001C;Batman: Rise of Sin Tzu;xefu7
49470010;Battle Engine Aquila;xefu
45410062;Battlefield 2: Modern Combat;xefu2021c
5655000F;Battlestar Galactica (2003);xefu
55530018;Beyond Good & Evil;xefu7
454D0002;Big Mutha Truckers;xefu3
45410039;Bionicle;xefu7
53550001;Bistro Cupid;xefu3
45410083;Black;xefu3
41560005;Blade II;xefu7
4D530065;Blinx 2: Masters of Time & Space;xefu7
4D530013;Blinx: The Time Sweeper;xefu7
4D570026;Blitz: The League;xefu7
45530006;Blood Omen 2;xefu7b
4D4A000D;BloodRayne 2;xefu7
48550001;BLOODY ROAR extreme;xefu7b
4D4A0008;BlowOut;xefu7
4143000E;BMX XXX;xefu
4E4D0009;BREAKDOWN;xefu7b
42530012;Breeders’ Cup World Thoroughbred Championships;xefu7
5451001D;Broken Sword - The Sleeping Dragon;xefu7
4D53001E;Brute Force;xefu
56550005;Buffy the Vampire Slayer: Chaos Bleeds;xefu
45410012;Buffy: The Vampire Slayer;xefu3
41430006;Burnout;xefu7
41430019;Burnout 2;xefu7
4541005B;Burnout 3;xefu6
4156003E;Cabela’s Big Game Hunter 2005 Adventures;xefu
41560019;Cabela’s Dangerous Hunts;xefu
41560052;Cabela’s Dangerous Hunts 2;xefu7
4156003F;Cabela’s Deer Hunt 2005 Season;xefu
41560030;Cabela’s Deer Hunt: 2004 Season;xefu
4156004D;Cabela’s Outdoor Adventures;xefu
42530007;Call of Cthulhu: Dark Corners of the Earht;xefu5
41560051;Call of Duty 2: Big Red One;xefu7
4156005D;Call of Duty 3;xefu7
4156002A;Call of Duty: Finest Hour;xefu
43430008;CAPCOM VS. SNK2 EO;xefu7
545100F2;Cars;xefu7
4B4E002D;Castlevania: Curse of Darkness;xefu7
4541005C;Catwoman;xefu3
4D53006D;CDX;xefu
584C8014;CDX;xefu3
45410011;Cel Damage;xefu2021c
53430100;Championship Manager 2006;xefu7
55530039;Chessmaster;xefu2021c
4B420005;Chicago Enforcer;xefu
45430001;Circus Maximus: Chariot Wars;xefu
5451000C;Circus Maximus: Chariot Wars;xefu
54540012;Close Combat: First to Fight;xefu
5553004B;Cold Fear;xefu7
434D0010;Colin McRae Rally 04;xefu
434D002B;Colin McRae Rally 2005;xefu7
53500001;Combat Elite: WWII Paratroopers;xefu
45530008;Commandos 2;xefu
53430001;Conflict: Desert Storm;xefu
54540005;Conflict: Desert Storm;xefu
4D530051;Conker Live and Reloaded;xefu6
5343000F;Constantine;xefu
4D530036;Counter-Strike;xefu5
4B4E0011;Crash Bandicoot 4 - Sakuretsu! Majin Power;xefu7
56550003;Crash Bandicoot: The Wrath of Cortex;xefu7
56560001;Crash Bandicoot: The Wrath of Cortex;xefu7
5655001F;Crash Nitro Kart;xefu5
56550036;Crash Twinsanity;xefu
53450004;CRAZY TAXI 3 High Roller;xefu7
4B4E001C;Crime Life: Gang Wars;xefu7
4B4F0002;Crimson Sea;xefu2021c
4D530021;Crimson Skies;xefu
55530020;Crouching Tiger, Hidden Dragon;xefu
49470013;D&D Heroes;xefu7
434B0001;Dai Senryaku VII: Modern Military Tactics;xefu7
56560010;Dark Angel;xefu
43430016;Darkwatch;xefu
5553005C;Darkwatch;xefu
41430001;Dave Mirra Freestyle BMX 2;xefu7b
4D53002D;Dead or Alive 3;xefu2
54430001;Dead or Alive 3;xefu7
54430006;Dead or Alive Ultimate;xefu3
54430007;Dead or Alive XtremeBeachVolleyBall;xefu2
4541002C;Dead to Rights;xefu5
4E4D0005;Dead To Rights;xefu5
45530004;Deadly Shadows;xefu
55530004;Deathrow;xefu
54510026;Destroy All Humans!;xefu5
45530005;Deus Ex: Invisible War;xefu7
42410001;Digimon Rumble Arena 2;xefu5
544D000F;Dinotopia: The Sunstone Odyssey;xefu
41560020;Doom 3;xefu3
4156004E;Doom 3: Resurrection of Evil;xefu7
4D4A000B;Drake;xefu
41590004;Dreamfall;xefu3
4D580001;Dreamfall: The Longest Journey;xefu3
58490007;Dredd vs Death;xefu
4B4F0007;Dynasty Warriors 5;xefu7
4B4F0003;DynastyWarriors3;xefu7
4B4F0004;DynastyWarriors4;xefu5
45410086;EA SPORTS FN 3;xefu6
5553005A;Earned In Blood;xefu2021c
4B420002;Egg Mania: Eggstreme Madness;xefu
49470022;Enter The Matrix;xefu7
53450024;ESPN College Hoops;xefu6
53450033;ESPN College Hoops 2K5;xefu7
53450028;ESPN Major League Baseball;xefu3
4B4E0005;ESPN MLS ExtraTime 2002;xefu
53450030;ESPN NFL 2K5;xefu7
53450032;ESPN NHL 2K5;xefu7
53450026;ESPN NHL Hockey;xefu7
5451000B;Evil Dead: A Fistful of Boomstick;xefu5
54510025;Evil Dead: Regeneration;xefu7b
4B4B0003;ExaSkeleton;xefu7
49460001;ExChaser;xefu5
45410007;F1 2001;xefu
4D53000D;Fable;xefu3
4D5300D1;Fable: The Lost Chapters;xefu3
4947007B;Fahrenheit;xefu5
49500008;Fallout Brotherhood of Steel;xefu7
545400B0;Family Guy;xefu5
4156001A;Fantastic 4;xefu7
55530008;FarCry Instincts;xefu6
55530060;FarCry Instincts Evolution;xefu7
54430004;Fatal Frame;xefu3
5443000A;Fatal Frame 2;xefu5
454100A6;FIFA 2007;xefu7
45410078;FIFA Soccer 06;xefu7
45410017;FIFA Soccer 2003;xefu
4541003B;FIFA Soccer 2004;xefu
45410072;FIFA Street;xefu
45410085;FIFA Street 2;xefu7
4541009C;FIFA World Cup: Germany 2006;xefu5
4541004B;Fight Night 2004;xefu
45410055;Fight Night Round 2;xefu
5655002F;FightClub;xefu7
43430013;Final Fight: Streetwise;xefu7
454D0009;FlatOut;xefu3
454D0020;FlatOut2;xefu7
41510002;Flight Academy;xefu3
54540077;Ford Mustang: The Legend Lives;xefu
54540089;Ford vs. Chevy;xefu5
49470074;Forgotten Realms: Demon Stone;xefu7
4D53006E;Forza Motorsport;xefu3
4D570007;Freaky Flyers;xefu3
4541002E;Freedom Fighters;xefu7
4B4E0013;Frogger Beyond;xefu
4B4E002C;Frogger: Ancient Shadow;xefu
54510022;Full Spectrum Warrior: Ten Hammers;xefu7
545100F8;Full Spectrum Warrior: Ten Hammers;xefu7
46490002;Futurama;xefu
56550008;Futurama;xefu
43560007;Future Tactics: The Uprising;xefu7
4D530002;Fuzion Frenzy;xefu7
4D570022;Gauntlet: Seven Sorrows;xefu3
4D570033;Gauntlet: SevenSorrows;xefu3
43430001;Genma Onimusha;xefu
55530006;Ghost Recon;xefu2
4A410005;Goblin Commander: Unleash the Horde;xefu
49470039;Godzilla: Destroy All Monsters Melee;xefu7
49470073;Godzilla: Save the Earth;xefu7
4541005D;GoldenEye: Rogue Agent;xefu7
5553004D;GR2: Summit Strike;xefu2
4D530053;Grabbed by the Ghoulies;xefu3
5454000E;Grand Theft Auto III;xefu
54540082;Grand Theft Auto: San Andreas;xefu
54540086;Grand Theft Auto: San Andreas;xefu
545400A4;Grand Theft Auto: San Andreas;xefu
5454000F;Grand Theft Auto: Vice City;xefu
54540073;Grand Theft Auto: Vice City;xefu
4D57000D;Gravity Games Bike: Street Vert Dirt;xefu
41560042;Greg Hastings’ Tournament Paintball;xefu
41560057;Greg Hastings’ Tournament Paintball Max’d;xefu7
45430002;Grooverider Slot Car Thunder;xefu
545400A3;GTA San Andreas;xefu
545400A5;GTA Trilogy Edition;xefu
41570001;Guilty Gear Isuka;xefu7
53410002;GuiltyGearX2#RELOAD;xefu7
4156004B;Gun;xefu7
5345000B;GUNVALKYRIE;xefu7
45410091;Half-Life 2;xefu5
4D530004;Halo - Combat Evolved;xefu
4D530064;Halo 2;xefu1_1
4D5380CD;Halo 2 Multiplayer Map Pack;xefu
4D530057;Halo Combat Evolved;xefu
4541000E;Harry Potter and the Chamber of Secrets;xefu7
45410077;Harry Potter and the Goblet of Fire;xefu
4541004C;Harry Potter: POA;xefu7
45410037;Harry Potter: SS;xefu
54440006;High Heat Major League Baseball 2004;xefu5
4253000F;High Rollers Casino;xefu
534300FA;Hitman Blood Money;xefu2021c
45530012;Hitman Contracts;xefu
54510089;Hot Wheels: Stunt Track Challenge;xefu6
56550011;Hulk;xefu
56560008;Hulk;xefu
564E0004;Hunter: The Reckoning;xefu7
56550007;Hunter: The Reckoning;xefu7
4E4D000F;I-Ninja;xefu5
42530011;IHRA Drag Racing: Sportsman Edition;xefu
4253000C;IHRA Professional Drag Racing 2005;xefu
4C410007;Indiana Jones and the Emperor’s Tomb;xefu7
434D0024;IndyCar Series 2005;xefu3
4B550001;Innocent Tears;xefu6
4D530034;Inside Pitch 2003;xefu
43560006;Intellivision Lives!;xefu3
45410042;James Bond 007: Everything or Nothing;xefu7
56550014;James Cameron’s Dark Angel;xefu
5345000A;Jet Set Radio Future;xefu7
49470018;JSRF: Jet Set Radio Future;xefu7
5656000D;Judge Dredd: Dredd VS Death;xefu
56550021;Jurassic Park: Operation Genesis;xefu
5656000A;Jurassic Park: Operation Genesis;xefu
534300FB;Just Cause;xefu7
57520001;Justice League Heroes;xefu6
43560001;Kabuki Warriors;xefu5
4D53000C;Kakuto Chojin;xefu2021c
41560002;Kelly Slater’s Pro Surfer;xefu
4E4D000B;kill.switch;xefu3
4B4E0024;King Arthur;xefu6
504C0005;Kingdom Under Fire;xefu7
504C0006;Kingdom Under Fire: Heroes;xefu7
504C0002;Kingdom Under Fire: The Crusaders;xefu7
504C0004;Kingdom Under Fire: The Crusaders;xefu7
4D530031;Kung Fu Chaos;xefu7
4C41001F;LEGO Star Wars II: The Original Trilogy;xefu5
4553001D;LEGO Star Wars: The Video Game;xefu3
56550031;Leisure Suit Larry: Magna Cum Laude;xefu5
4156001F;Lemony Snicket’s A Series of Unfortunate Events;xefu
4D53005D;Links 2004;xefu5
49470006;Loons - The Fight For Fame;xefu
4541005F;LOTR3;xefu7
4947001F;M:I - OP SURMA;xefu7
56550018;Mace Griffin Bounty Hunter;xefu7
45530001;Mad Dash Racing;xefu6
4D530066;Magatama;xefu5
4947000E;Magic: The Gathering - Battlegrounds;xefu7
49470072;Magic: The Gathering - Battlegrounds;xefu7
4253000A;Malice;xefu2021c
54540019;Manhunt;xefu
45410095;Marvel Nemesis: Imperf;xefu6
4541038A;Marvel Nemesis: Rise of the Imperfects;xefu6
43430007;Marvel vs. capcom2;xefu7
4156005C;Marvel: Ultimate Alliance;xefu7
454D001B;Mashed;xefu7
4156000B;Mat Hoffman’s Pro BMX 2;xefu
54540003;Max Payne;xefu
5454000C;Max Payne 2;xefu
4D53002E;Maximum Chase;xefu5
4D530017;MechAssault;xefu3
4D53006B;MechAssault;xefu7
4541005E;Medal of Honor: European Assault;xefu
4541001A;Medal of Honor: Frontline;xefu
4541003F;Medal of Honor: Rising Sun;xefu
43430011;Megaman Anniversary Collection;xefu
4C410015;Mercenaries;xefu7
5655000A;Metal Arms;xefu
4B4E0007;MGS2 SUBSTANCE;xefu7
4947001C;Micro Machines;xefu
54540079;Midnight Club 3: DUB Edition;xefu7
4D53002A;Midtown Madness 3;xefu7
4D57001C;Midway Arcade Treasures;xefu7
4D570020;Midway Arcade Treasures 2;xefu7
434D0003;Mike Tyson Heavyweight Boxing;xefu
